"Name","Tags","User","Created","Runtime","args.rnn_hidden","args.cnn_hidden","movingAverage","Training reward","args.num_revisit","args.model_id","optimizer","env index","params.lr","params.model","params.num_trajs","score"
"northern-glitter-3410","training-easy","sy2938","2021-04-20T16:23:12.000Z","7418","32","[8,16]","0.8662210978536109","0.68288687293051","4","b359600a-a1f4-11eb-a322-acde48001122.pt","","","","","",""
"giddy-haze-3360","training-hard","sy2938","2021-04-20T06:54:08.000Z","19950","32","[8,16]","0.6442603756424424","0.7388735788927457","12","33e033c0-a1a5-11eb-9009-acde48001122.pt","","","","","",""
"jolly-tree-3356","training-easy","sy2938","2021-04-20T06:44:25.000Z","558","","","0.8396956377801215","0.9216160135827068","1","d8641b52-a1a3-11eb-bd73-acde48001122.pt","","","","","",""
"stellar-glitter-3299","training-hard","sy2938","2021-04-20T05:14:48.000Z","21025","32","[8,16]","0.3258038593482453","0.2936602236143244","12","52ee0a86-a197-11eb-a022-acde48001122.pt","","","","","",""
"dauntless-darkness-3234","training-easy","sy2938","2021-04-20T00:38:44.000Z","20283","32","[8,16]","0.8493597510123941","0.8346389945107072","12","c22841d4-a170-11eb-b721-acde48001122.pt","","","","","",""
"misty-salad-3225","training-easy","sy2938","2021-04-20T00:00:48.000Z","4730","32","[8,16]","0.8640684332682314","0.7022608541906266","1","75e30566-a16b-11eb-a71a-acde48001122.pt","","","","","",""
"electric-sun-3207","training-easy","sy2938","2021-04-19T23:13:30.000Z","1987","32","[8,16]","0.873744620741541","0.6151751669435725","1","da3d6f94-a164-11eb-8c1f-acde48001122.pt","","","","","",""
"volcanic-morning-3206","training-hard","sy2938","2021-04-19T23:13:28.000Z","1973","32","[8,16]","0.8884490518779179","1.254311570487289","1","d8c7085a-a164-11eb-af07-acde48001122.pt","","","","","",""
"golden-bee-3200","training-easy","sy2938","2021-04-19T22:36:12.000Z","2214","32","[8,16]","0.87462543847457","0.6072478073167531","1","a4623a08-a15f-11eb-aaec-acde48001122.pt","","","","","",""
"upbeat-cosmos-3199","training-hard","sy2938","2021-04-19T22:36:08.000Z","2208","32","[8,16]","0.5721815746843125","0.2662301894040411","1","a1a3108a-a15f-11eb-be52-acde48001122.pt","","","","","",""
"decent-jazz-3198","training-hard","sy2938","2021-04-19T22:30:02.000Z","7985","32","[8,16]","0.8642179731661991","0.9433376184860548","4","c7657110-a15e-11eb-b8a9-acde48001122.pt","","","","","",""
"hearty-valley-3197","training-easy","sy2938","2021-04-19T22:29:41.000Z","7553","","","0.04547119485581814","0.04514867033662995","","","","","","","",""
"kind-wave-3196","training-hard","sy2938","2021-04-19T22:24:25.000Z","671","","","0.08074770936567195","0.10161973540243709","","","","","","","",""
"wobbly-armadillo-3195","training-easy","sy2938","2021-04-19T22:24:01.000Z","702","","","0.02348787721973622","0.02138265913890791","","","","","","","",""
"scarlet-pine-3170","training-hard","sy2938","2021-04-19T16:25:43.000Z","1446","","","0.05179333498909955","0.06481491872921197","","","","","","","",""
"eager-lion-3168","training-easy","sy2938","2021-04-19T16:20:16.000Z","1757","","","0.9060579665045908","1.0668445292598108","","","","","","","",""
